id,start_date,end_date,season_type
42007,2008-04-19,2008-06-17,Playoffs
12008,2008-10-05,2008-10-24,Preseason
22008,2008-10-28,2009-04-15,Regular Season
32008,2009-02-15,2009-02-15,All-Star Weekend
42008,2009-04-18,2009-06-14,Playoffs
12009,2009-10-01,2009-10-23,Preseason
22009,2009-10-27,2010-04-14,Regular Season
32009,2010-02-14,2010-02-14,All-Star Weekend
42009,2010-04-17,2010-06-17,Playoffs
12010,2010-10-03,2010-10-22,Preseason
22010,2010-10-26,2011-04-13,Regular Season
32010,2011-02-20,2011-02-20,All-Star Weekend
42010,2011-04-16,2011-06-12,Playoffs
12011,2011-12-16,2011-12-22,Preseason
22011,2011-12-25,2012-04-26,Regular Season
32011,2012-02-26,2012-02-26,All-Star Weekend
42011,2012-04-28,2012-06-21,Playoffs
12012,2012-10-05,2012-10-26,Preseason
32012,2013-02-17,2013-02-17,All-Star Weekend
42012,2013-04-20,2013-06-20,Playoffs
12013,2013-10-05,2013-10-25,Preseason
22013,2013-10-29,2014-04-16,Regular Season
32013,2014-02-16,2014-02-16,All-Star Weekend
42013,2014-04-19,2014-06-15,Playoffs
12014,2014-10-04,2014-10-24,Preseason
22014,2014-10-28,2015-04-15,Regular Season
32014,2015-02-15,2015-02-15,All-Star Weekend
42014,2015-04-18,2015-06-16,Playoffs
12015,2015-10-02,2015-10-23,Preseason
22015,2015-10-27,2016-04-13,Regular Season
32015,2016-02-14,2016-02-14,All-Star Weekend
42015,2016-04-16,2016-06-19,Playoffs
12016,2016-10-01,2016-10-21,Preseason
22016,2016-10-25,2017-04-12,Regular Season
32016,2017-02-19,2017-02-19,All-Star Weekend
42016,2017-04-15,2017-06-12,Playoffs
12017,2017-09-30,2017-10-13,Preseason
22017,2017-10-17,2018-04-11,Regular Season
32017,2018-02-18,2018-02-18,All-Star Weekend
42017,2018-04-14,2018-06-08,Playoffs
22018,2018-10-16,2019-04-10,Regular Season
32018,2019-02-17,2019-02-17,All-Star Weekend
42018,2019-04-13,2019-06-13,Playoffs
22019,2019-10-22,2020-08-14,Regular Season
32019,2020-02-16,2020-02-16,All-Star Weekend
42019,2020-08-17,2020-10-11,Playoffs
12020,2020-12-11,2020-12-19,Preseason
22020,2020-12-22,2021-05-16,Regular Season
32020,2021-03-07,2021-03-07,All-Star Weekend
42020,2021-05-22,2021-07-20,Playoffs
12021,2021-10-03,2021-10-15,Preseason
22021,2021-10-19,2022-04-10,Regular Season
32021,2022-02-20,2022-02-20,All-Star Weekend
42021,2022-04-16,2022-06-16,Playoffs
12022,2022-09-30,2022-10-14,Preseason
22022,2022-10-18,2023-04-09,Regular Season
32022,2023-02-19,2023-02-19,All-Star Weekend
42022,2023-04-15,2023-06-12,Playoffs
